SZU,Charge_Point,Charge_Point_2
Burakin,"30° 30'15""S","117° 4'30""E"
Burcher,"33° 41'0""S","147° 11'30""E"
Burdekin (Ext),"19° 40'0""S","145° 27'30""E"
Burketown,"20° 35'0""S","138° 57'0""E"
Burnett (Ext),"25° 22'30""S","151° 19'0""E"
Burnie,"41° 11'0""S","145° 53'30""E"
Burra (NSW),"34° 55'30""S","147° 57'30""E"
Burra (SA),"33° 42'30""S","138° 59'30""E"
Burracoppin,"31° 22'30""S","118° 26'30""E"
Burracoppin South,"31° 33'30""S","118° 28'30""E"
Burraga,"33° 52'0""S","149° 40'30""E"
Burren Junction,"30° 9'30""S","148° 57'30""E"
Burrinjuck,"34° 55'0""S","148° 37'0""E"
Busselton,"33° 42'0""S","115° 27'0""E"
Bute,"33° 56'0""S","137° 59'30""E"
Byabarra,"31° 30'30""S","152° 30'30""E"
Byfield,"22° 56'30""S","150° 42'0""E"
Byford,"32° 20'30""S","115° 59'30""E"
Bylong,"32° 31'0""S","150° 10'30""E"
Cabbage Tree Creek,"37° 42'0""S","148° 44'0""E"
Caboolture,"27° 4'0""S","152° 59'30""E"
Cabramurra,"36° 1'0""S","148° 25'0""E"
Cadoux,"30° 43'30""S","117° 1'0""E"
Cairlocup,"33° 46'30""S","118° 46'0""E"
Cairns,"16° 55'30""S","145° 47'0""E"
Caldwell,"35° 41'0""S","144° 37'0""E"
Calen,"20° 58'30""S","148° 45'0""E"
Calingiri,"31° 2'30""S","116° 30'30""E"
Callington,"35° 3'0""S","139° 1'0""E"
Calliope,"24° 4'30""S","151° 12'30""E"
Caloundra,"26° 51'30""S","152° 58'30""E"
Caltowie,"33° 5'30""S","138° 34'0""E"
Cambooya,"27° 38'30""S","151° 47'0""E"
Camden,"34° 1'30""S","150° 33'30""E"
Camooweal,"20° 35'0""S","138° 57'0""E"
Campbell Town,"42° 0'20""S","147° 27'0""E"
Campbelltown,"34° 8'0""S","150° 47'30""E"
Camperdown,"38° 10'0""S","143° 9'30""E"
Canberra,"35° 14'30""S","149° 9'0""E"
Candelo,"36° 49'30""S","149° 38'30""E"
Cann River,"37° 34'30""S","149° 8'30""E"
Cannawigara,"36° 19'30""S","140° 35'0""E"
Cannon Valley,"20° 21'10""S","148° 45'45""E"
Canowindra,"33° 35'0""S","148° 39'0""E"
Cape River (Ext),"20° 43'0""S","145° 57'0""E"
Capel,"33° 31'45""S","115° 36'0""E"
Capella,"23° 12'30""S","148° 5'30""E"
Captains Flat,"35° 31'10""S","149° 21'10""E"
Carabost,"35° 32'30""S","147° 43'0""E"
Caragabal,"33° 47'30""S","147° 51'30""E"
Caramut,"38° 1'0""S","142° 37'0""E"
Carbine Creek,"23° 14'36""S","147° 34'20""E"
Careunga,"29° 8'0""S","149° 56'0""E"
Carinda,"30° 35'30""S","147° 50'0""E"
Carisbrook,"37° 4'0""S","143° 49'30""E"
Carmila,"21° 43'0""S","149° 22'0""E"
Carnamah,"29° 43'0""S","115° 57'30""E"
Carnamah West,"29° 43'30""S","115° 37'30""E"
Carnarvon,"24° 52'0""S","113° 43'0""E"
Caroda,"29° 58'0""S","150° 24'0""E"
Carpentaria (Ext),"16° 10'0""S","134° 46'0""E"
Carrathool,"34° 42'0""S","145° 14'0""E"
Carrieton,"32° 25'30""S","138° 31'44""E"
Cascade,"33° 28'50""S","121° 11'0""E"
Casino,"28° 52'30""S","153° 6'0""E"
Cassilis,"32° 1'0""S","149° 57'15""E"
Casterton,"37° 33'10""S","141° 25'30""E"
Castle Rock,"32° 12'0""S","150° 37'30""E"
Castlemaine,"37° 8'0""S","144° 14'0""E"
Cathcart,"36° 48'0""S","149° 27'30""E"
Cavan,"35° 3'30""S","148° 46'0""E"
Cavendish,"37° 27'30""S","142° 2'0""E"
Cecil Plains,"27° 34'30""S","151° 14'0""E"
Ceduna,"32° 6'30""S","133° 42'0""E"
Cessnock,"32° 53'20""S","151° 16'50""E"
Chahpingah,"26° 30'30""S","151° 32'0""E"
Charleville,"26° 24'0""S","146° 15'0""E"
Charlton,"36° 16'30""S","143° 22'30""E"
Charters Towers,"20° 2'30""S","146° 21'30""E"
Cheshunt,"36° 46'0""S","146° 23'30""E"
Chetwynd,"37° 21'0""S","141° 22'30""E"
Childers,"25° 14'30""S","152° 16'30""E"
Chillagoe,"16° 53'0""S","143° 44'0""E"
Chiltern,"36° 12'0""S","146° 35'0""E"
Chinchilla,"26° 39'0""S","150° 42'0""E"
Chittinup,"33° 44'0""S","116° 52'0""E"
Christmas Island,"10° 30'00""S","105° 40'00""E"
Clare,"33° 52'0""S","138° 42'0""E"
Clarence Town,"32° 34'0""S","151° 45'0""E"
Clarke (Ext),"19° 12'0""S","145° 26'30""E"
Clayton,"37° 49'0""S","144° 57'0""E"
Clear Lake,"36° 55'30""S","141° 57'0""E"
Cleary North,"30° 24'30""S","117° 41'0""E"
Clermont,"22° 49'36""S","147° 38'25""E"
Cleve,"33° 37'30""S","136° 29'30""E"
Cleveland,"27° 34'0""S","153° 13'30""E"
Clifton,"27° 53'0""S","152° 2'30""E"
Cloncurry,"20° 42'30""S","140° 29'0""E"
Club Terrace,"37° 40'0""S","148° 56'30""E"
Clydebank,"38° 4'30""S","147° 14'0""E"
Coalbaggie,"31° 59'0""S","148° 22'0""E"
Cobar,"31° 30'30""S","145° 49'30""E"
Cobargo,"36° 24'0""S","149° 56'0""E"
Cobden,"38° 22'30""S","143° 2'45""E"
Cobram,"35° 58'0""S","145° 42'0""E"
Cockatoo,"25° 40'48""S","150° 7'30""E"
Cocos (Keeling) Island,"12° 10'00""S","096° 53'00""E"
Coen,"14° 16'0""S","142° 59'0""E"
Coffin Bay,"34° 36'0""S","135° 26'0""E"
Coffs Harbour,"30° 15'0""S","153° 2'30""E"
Cohuna,"35° 50'10""S","144° 15'0""E"
Colac,"38° 21'0""S","143° 36'0""E"
Colane,"31° 17'30""S","147° 19'30""E"
Colbinabbin,"36° 35'30""S","144° 43'30""E"
Coleambally,"34° 46'5""S","145° 55'30""E"
Colebatch,"36° 1'0""S","139° 48'0""E"
Colebrook,"42° 33'0""S","147° 24'0""E"
Coleraine,"37° 33'30""S","141° 44'0""E"
Collarenebri,"29° 32'25""S","148° 32'45""E"
Collie (NSW),"31° 39'50""S","148° 19'0""E"
Collie (WA),"33° 24'30""S","116° 7'0""E"
Collinsville,"20° 35'0""S","147° 53'0""E"
Collurabbie (Ext),"27° 52'0""S","121° 57'0""E"
Colo Heights,"33° 24'0""S","150° 47'30""E"
Colston Park,"21° 27'0""S","149° 1'0""E"
Comara,"30° 50'45""S","152° 27'0""E"
Combienbar,"37° 27'30""S","149° 0'30""E"
Comboyne,"31° 41'0""S","152° 21'40""E"
Comet,"23° 34'30""S","148° 26'0""E"
Conargo,"35° 21'0""S","145° 5'0""E"
Condamine,"26° 52'30""S","150° 9'30""E"
Condingup,"33° 44'30""S","122° 33'30""E"
Condobolin,"33° 2'0""S","147° 6'0""E"
Congee,"33° 29'30""S","117° 34'30""E"
Conmurra,"37° 8'0""S","140° 18'30""E"
Connors Range (Ext),"21° 26'0""S","148° 35'0""E"
Coober Pedy,"29° 1'0""S","134° 45'0""E"
Coojar,"37° 24'30""S","141° 36'30""E"
Cooktown,"15° 28'30""S","145° 3'0""E"
Coolabah,"31° 5'30""S","146° 48'30""E"
Coolac,"34° 51'30""S","148° 16'0""E"
Coolah,"31° 54'0""S","149° 44'0""E"
Coolamon,"34° 51'10""S","147° 19'35""E"
Coolatai,"29° 15'0""S","150° 47'30""E"
Cooma,"36° 11'30""S","149° 7'30""E"
Coomalbidgup,"33° 36'30""S","121° 27'30""E"
Coomallo,"30° 14'0""S","115° 20'0""E"
Coomberdale,"30° 26'30""S","116° 1'0""E"
Coominya,"27° 23'0""S","152° 23'50""E"
Coonabarabran,"31° 19'30""S","149° 17'0""E"
Coonalpyn,"35° 49'0""S","139° 47'0""E"
Coonamble,"30° 56'0""S","148° 21'30""E"
Coonawarra,"37° 16'30""S","140° 49'30""E"
Coondarra,"26° 9'30""S","150° 36'0""E"
Coopernook,"31° 43'0""S","152° 37'0""E"
Coorabie,"31° 29'0""S","131° 57'0""E"
Coorow,"29° 50'0""S","116° 6'0""E"
Coorow West,"29° 55'0""S","115° 50'30""E"
Cooroy,"26° 28'30""S","152° 53'0""E"
Cootamundra,"34° 40'0""S","148° 4'45""E"
Cooyar,"27° 1'0""S","151° 53'30""E"
Copeton Dam,"29° 51'0""S","150° 50'0""E"
Copeville,"34° 45'30""S","139° 55'30""E"
Copmanhurst,"29° 29'20""S","152° 41'0""E"
Coppabella,"35° 44'0""S","147° 34'0""E"
Corackerup,"34° 6'30""S","118° 39'30""E"
Cornalla,"35° 43'30""S","145° 6'0""E"
Corowa,"36° 3'0""S","146° 25'0""E"
Corrigin,"32° 21'30""S","117° 59'0""E"
Corrigin West,"32° 11'0""S","117° 48'30""E"
Corryong,"36° 7'25""S","147° 52'40""E"
Cottonvale,"28° 30'30""S","151° 54'0""E"
Coulta,"34° 24'0""S","135° 28'0""E"
Courela,"32° 30'52""S","134° 24'50""E"
Coutts Crossing,"29° 54'0""S","152° 53'30""E"
Cowabbie,"34° 39'0""S","146° 57'30""E"
Cowangie,"35° 13'30""S","141° 30'30""E"
Cowell,"33° 40'30""S","136° 54'30""E"
Cowes,"38° 29'0""S","145° 15'0""E"
Cowra,"33° 49'30""S","148° 42'0""E"
Cracow,"25° 10'0""S","150° 10'0""E"
Craigieburn,"37° 49'0""S","144° 57'0""E"
Craigleigh,"30° 7'10""S","150° 53'45""E"
Cranbourne,"38° 8'30""S","145° 20'0""E"
Cranbrook,"34° 11'50""S","117° 32'0""E"
Creightons Creek,"36° 53'30""S","145° 34'30""E"
Cressy,"38° 1'0""S","143° 38'30""E"
Creswick,"37° 20'0""S","143° 54'30""E"
Crookwell,"34° 25'30""S","149° 32'10""E"
Croppa Creek,"29° 8'40""S","150° 11'0""E"
Crossdale,"27° 16'30""S","152° 37'30""E"
Crows Nest,"27° 10'30""S","152° 3'30""E"
Croydon,"37° 49'0""S","145° 21'0""E"
Croydon (QLD),"18° 2'0""S","140° 21'0""E"
Crymelon,"36° 7'0""S","142° 10'30""E"
Crystal Brook,"33° 19'0""S","138° 12'30""E"
Cuballing,"32° 46'0""S","117° 9'0""E"
Cudal,"33° 23'30""S","148° 46'30""E"
Cudgewa,"36° 10'40""S","147° 40'0""E"
Cue,"28° 18'0""S","118° 21'0""E"
Culburra,"35° 43'0""S","139° 58'0""E"
Culcairn,"35° 39'30""S","146° 59'30""E"
